States,city,citygroup,Source
Jharkhand,Doranda,Ranchi,Quantum
Gujarat,Amroli,Surat,JC - Cohort service
Gujarat,Bardoli,Surat,JC - Cohort service
Gujarat,Bhimpor,Surat,JC - Cohort service
Gujarat,Kosamba,Surat,JC - Cohort service
Gujarat,Olpad,Surat,JC - Cohort service
Gujarat,Rander,Surat,JC - Cohort service
Gujarat,Sachin,Surat,JC - Cohort service
Gujarat,Surat,Surat,JC - Cohort service
Gujarat,Utran,Surat,JC - Cohort service
Gujarat,Majura Taluka,Surat,JC - Cohort service
Gujarat,Akota,Vadodara,JC - Cohort service
Gujarat,Dabhoi,Vadodara,JC - Cohort service
Gujarat,Desar,Vadodara,JC - Cohort service
Gujarat,Padra,Vadodara,JC - Cohort service
Gujarat,Vadodara,Vadodara,JC - Cohort service
Gujarat,Bharuch,Vadodara,Quantum
Uttar Pradesh,Varanasi,Varanasi,JC - Cohort service
Andhra Pradesh,Visakhapatnam,Visakhapatnam,JC - Cohort service
Andhra Pradesh,Gajuwaka,Visakhapatnam,JC - Cohort service
Andhra Pradesh,Anakapalle,Visakhapatnam,Quantum
Andhra Pradesh,Narsipatnam,Visakhapatnam,Quantum
